Stock Name,Ticker,Price,todayHigh,todayLow,52WeekHigh,Volume,ROC_Today,"ROC (5m, 12p)",Diff of ROC,actual_high,actual_low,future_high,future_low,is_high,is_low,gain,reverse_gain,date,slot
Indo Amines Ltd,INDOAMIN,132.54,134.9499969482422,119.4000015258789,176.25,410158,7.1,14.23,-7.13,134.9499969482422,119.4000015258789,134.38999938964844,126.5,1,1,1.85,6.04,2026-05-14,slot_1
Man Industries (india) Limited,MANINDS,558.6,565.9000244140625,538.4500122070312,570.0,300425,2.93,4.73,-1.8,565.9000244140625,538.4500122070312,562.0,544.6500244140625,1,1,3.4,13.95,2026-05-14,slot_1
MTAR Technologies Ltd,MTARTECH,7322.0,7418.0,7027.5,7418.0,726193,1.99,8.6,-6.61,7730.0,7027.5,7727.0,7112.0,1,1,405.0,210.0,2026-05-14,slot_1
Diamond Power Infrastructure Ltd,DIACABS,183.1,186.0,174.5099945068359,186.0,2516516,1.56,3.71,-2.15,191.99000549316406,174.50999450683594,191.99000549316406,179.50999450683594,1,1,8.89,3.59,2026-05-14,slot_1
Vedanta Limited,VEDL,333.1,335.9500122070312,325.1000061035156,795.0,12903524,1.48,2.9,-1.43,340.6499938964844,325.1000061035156,340.54998779296875,328.8500061035156,1,1,7.45,4.25,2026-05-14,slot_1
Gujarat Narmada Valley Fertilizers And Chemicals Limited,GNFC,507.15,511.6000061035156,499.0,573.75,266701,1.41,3.59,-2.18,521.7000122070312,499.0,521.6500244140625,507.25,1,0,14.5,-0.1,2026-05-14,slot_1
Adani Enterprises Limited,ADANIENT,2618.8,2635.0,2530.0,2695.0,2472904,1.39,4.85,-3.46,2720.0,2530.0,2720.0,2612.10009765625,1,1,101.2,6.7,2026-05-14,slot_1
Balaji Amines Limited,BALAMINES,1623.4,1623.400024414062,1496.0,1945.0,787663,1.35,19.94,-18.59,1623.4000244140625,1496.0,1623.4000244140625,1596.0,0,1,0.0,27.4,2026-05-14,slot_1
Jsw Steel Limited,JSWSTEEL,1299.4,1304.599975585938,1281.900024414062,1306.8,329769,1.28,1.84,-0.56,1306.0,1281.9000244140625,1305.5999755859375,1289.4000244140625,1,1,6.2,10.0,2026-05-14,slot_1
R R Kabel Ltd,RRKABEL,2029.6,2040.0,1967.800048828125,2040.0,277254,0.97,3.45,-2.48,2049.0,1919.0,2049.0,1920.0,1,1,19.4,109.6,2026-05-14,slot_1
Multi Commodity Exchange Of India Limited,MCX,3255.5,3273.89990234375,3210.0,3273.9,473808,0.95,1.27,-0.32,3364.0,3210.0,3364.0,3222.0,1,1,108.5,33.5,2026-05-14,slot_1
Black Box Ltd,BBOX,851.55,854.9500122070312,819.0999755859375,872.55,241402,0.94,1.84,-0.9,866.0,819.0999755859375,865.0499877929688,833.6500244140625,1,1,13.5,17.9,2026-05-14,slot_1
Pondy Oxides & Chemicals Ltd,POCL,1584.9,1619.0,1477.300048828125,1619.0,720118,0.9,7.59,-6.69,1619.0,1477.300048828125,1569.9000244140625,1493.0,0,1,-15.0,91.9,2026-05-14,slot_1
Sai Life Sciences Ltd,SAILIFE,1128.0,1138.199951171875,1100.0,1139.4,238078,0.64,4.11,-3.47,1138.9000244140625,1100.0,1138.9000244140625,1104.0,1,1,10.9,24.0,2026-05-14,slot_1
Bandhan Bank Ltd,BANDHANBNK,199.86,200.8500061035156,195.25,212.66,1792245,0.51,1.19,-0.68,200.85000610351562,194.58999633789062,199.9499969482422,194.58999633789062,1,1,0.09,5.27,2026-05-14,slot_1
Steel Authority Of India Limited,SAIL,206.3,209.6999969482422,201.5,209.7,14594456,0.47,2.3,-1.83,209.6999969482422,198.5500030517578,206.25,198.5500030517578,0,1,-0.05,7.75,2026-05-14,slot_1
BSE (Bombay stock exchange) Ltd,BSE,3977.0,3986.0,3917.199951171875,3994.0,785336,0.42,1.76,-1.34,4065.0,3917.199951171875,4065.0,3940.0,1,1,88.0,37.0,2026-05-14,slot_1
Baazar Style Retail Ltd,STYLEBAAZA,417.15,418.0,407.3500061035156,427.0,122482,0.29,0.48,-0.18,420.3999938964844,407.3500061035156,420.3999938964844,408.45001220703125,1,1,3.25,8.7,2026-05-14,slot_1
GE Power India Ltd,GVPIL,740.05,740.0499877929688,715.0,740.05,101194,0.28,4.99,-4.72,740.0499877929688,690.0499877929688,740.0499877929688,690.0499877929688,0,1,-0.0,50.0,2026-05-14,slot_1
Usha Martin Limited,USHAMART,485.4,489.3999938964844,477.8999938964844,497.1,151282,-0.03,1.36,-1.39,489.3999938964844,474.3500061035156,485.0,474.3500061035156,0,1,-0.4,11.05,2026-05-14,slot_1
Aurobindo Pharma Limited,AUROPHARMA,1522.6,1525.900024414062,1504.0,1525.9,232424,-0.05,0.52,-0.57,1525.9000244140625,1497.0,1515.5999755859375,1498.0,0,1,-7.0,24.6,2026-05-14,slot_1
Nippon Life India Asset Management Ltd,NAM-INDIA,1087.4,1095.5,1063.300048828125,1117.9,136461,-0.05,1.73,-1.78,1095.5,1060.0999755859375,1095.0,1060.0999755859375,1,1,7.6,27.3,2026-05-14,slot_1
Nlc India Limited,NLCINDIA,365.9,374.0,348.0,374.0,20599737,-0.15,12.19,-12.34,387.79998779296875,348.0,387.79998779296875,358.6499938964844,1,1,21.9,7.25,2026-05-14,slot_1
CMS Info Systems Ltd,CMSINFO,301.75,302.3500061035156,297.5499877929688,541.15,85018,-0.35,0.54,-0.89,304.75,295.25,304.54998779296875,296.3999938964844,1,1,2.8,5.35,2026-05-14,slot_1
Granules India Limited,GRANULES,741.55,744.7999877929688,730.0499877929688,761.4,59412,-0.45,0.48,-0.94,744.7999877929688,730.0499877929688,741.0,732.2000122070312,0,1,-0.55,9.35,2026-05-14,slot_1
Adani Ports And Special Economic Zone Limited,ADANIPORTS,1775.0,1778.099975585938,1755.599975585938,1792.0,507407,-0.67,0.86,-1.53,1782.5,1745.4000244140625,1782.5,1746.300048828125,1,1,7.5,28.7,2026-05-14,slot_1
Adani Green Energy Ltd,ADANIGREEN,1413.1,1424.099975585938,1376.800048828125,1424.1,1049812,-0.8,1.89,-2.69,1424.0999755859375,1376.800048828125,1422.0,1383.0999755859375,1,1,8.9,30.0,2026-05-14,slot_1
Oil India Limited,OIL,519.6,531.0,516.6500244140625,531.0,5068754,-0.85,2.7,-3.55,531.0,514.5999755859375,527.5,514.75,1,1,7.9,4.85,2026-05-14,slot_1
Bombay Burmah Trading Corporation Limited,BBTC,1542.0,1564.800048828125,1521.900024414062,2155.0,72244,-0.87,2.06,-2.93,1564.800048828125,1492.0999755859375,1542.699951171875,1494.300048828125,1,1,0.7,47.7,2026-05-14,slot_1
Adf Foods Limited,ADFFOODS,286.15,301.6499938964844,284.2999877929688,301.65,506381,-0.94,4.63,-5.57,301.6499938964844,268.79998779296875,285.95001220703125,268.79998779296875,0,1,-0.2,17.35,2026-05-14,slot_1
Bhagyanagar India,BHAGYANGR,350.0,351.8999938964844,340.0,351.9,77813,-1.37,1.9,-3.27,351.8999938964844,321.0,351.0,321.0,1,1,1.0,29.0,2026-05-14,slot_1
Antelopus Selan Energy Ltd,ANTELOPUS,777.6,789.9000244140625,768.0,789.9,103722,-1.7,2.22,-3.92,789.9000244140625,732.1500244140625,779.4500122070312,733.0499877929688,1,1,1.85,44.55,2026-05-14,slot_1
Metropolis Healthcare Ltd,METROPOLIS,567.0,600.0,559.0999755859375,600.0,1088734,-2.04,2.82,-4.86,600.0,532.0,564.75,532.0999755859375,0,1,-2.25,34.9,2026-05-14,slot_1
CARE Ratings Ltd,CARERATING,1728.7,1787.199951171875,1690.0,1964.0,146548,-2.14,6.14,-8.28,1787.199951171875,1690.0,1769.5,1703.0,1,1,40.8,25.7,2026-05-14,slot_1
Smartlink Network Systems Limited,SMARTLINK,185.5,199.0,182.0,199.0,196204,-2.37,4.25,-6.61,199.0,178.3000030517578,198.0,178.30999755859375,1,1,12.5,7.19,2026-05-14,slot_1
Wheels India Limited,WHEELS,1596.5,1610.0,1477.199951171875,1610.0,406725,4.21,9.81,-5.6,1657.699951171875,1477.199951171875,1656.800048828125,1548.0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,60.3,48.5,2026-05-18,slot_1
The Great Eastern Shipping Company Limited,GESHIP,1639.0,1650.0,1533.900024414062,1650.0,1258948,3.72,8.27,-4.55,1730.0,1533.9000244140625,1727.5,1640.0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,88.5,-1.0,2026-05-18,slot_1
Vijaya Diagnostic Centre Ltd,VIJAYA,1363.9,1367.800048828125,1321.599975585938,1379.3,76459,1.88,5.03,-3.15,1374.0,1293.800048828125,1372.300048828125,1294.0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8.4,69.9,2026-05-18,slot_1
Carborundum Universal Limited,CARBORUNIV,1134.7,1164.900024414062,1090.0,1164.9,242965,1.49,4.42,-2.93,1166.4000244140625,1090.0,1154.0,1093.300048828125,,,,,,,,,,,,,,,,,,,,,,,,,1,1,19.3,41.4,2026-05-18,slot_1
Senores Pharmaceuticals Ltd,SENORES,1100.0,1104.900024414062,1048.0,1104.9,203948,1.24,5.14,-3.91,1194.4000244140625,1048.0,1194.0,1095.0999755859375,,,,,,,,,,,,,,,,,,,,,,,,,1,1,94.0,4.9,2026-05-18,slot_1
Gland Pharma Ltd,GLAND,2104.7,2129.10009765625,2034.0,2131.0,1589851,0.95,11.89,-10.94,2207.0,2034.0,2195.10009765625,2091.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,1,1,90.4,13.6,2026-05-18,slot_1
Gokul Agro Resources Limited,GOKULAGRO,243.06,247.9299926757812,239.2400054931641,249.92,351152,0.64,1.27,-0.64,247.92999267578125,232.22000122070312,243.17999267578125,232.41000366210938,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.12,10.65,2026-05-18,slot_1
Arvind Limited,ARVIND,462.3,469.0,445.0,469.0,977789,0.44,2.78,-2.34,483.0,445.0,482.95001220703125,452.70001220703125,,,,,,,,,,,,,,,,,,,,,,,,,1,1,20.65,9.6,2026-05-18,slot_1
Mirae Asset NYSE FANG+ ETF,MAFANG,197.89,197.8899993896484,196.0,197.89,379843,0.19,0.76,-0.57,197.88999938964844,196.0,197.88999938964844,197.88999938964844,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.0,0.0,2026-05-18,slot_1
Sun Pharmaceuticals Industries Limited,SUNPHARMA,1876.0,1878.199951171875,1865.0,1887.9,198734,0.17,-0.36,0.53,1911.0,1865.0,1911.0,1866.0999755859375,,,,,,,,,,,,,,,,,,,,,,,,,1,1,35.0,9.9,2026-05-18,slot_1
Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE,114.11,114.120002746582,114.0999984741211,114.12,2989084,0.01,0.01,0.0,114.12000274658203,114.0999984741211,114.12000274658203,114.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.01,0.01,2026-05-18,slot_1
Kotak Nifty 1D Rate Liquid ETF,LIQUID1,1104.71,1106.75,1104.579956054688,1136.18,85825,0.0,0.01,-0.01,1106.75,1104.5799560546875,1104.72998046875,1104.7099609375,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.02,0.0,2026-05-18,slot_1
Syngene International Limited,SYNGENE,462.3,466.3500061035156,453.75,728.6,213128,0.0,1.21,-1.21,469.54998779296875,453.75,469.25,458.6499938964844,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6.95,3.65,2026-05-18,slot_1
Motilal Oswal NASDAQ 100 ETF,MON100,331.62,331.6199951171875,322.0,331.62,890307,0.0,0.78,-0.78,331.6199951171875,322.0,331.6199951171875,331.6199951171875,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.0,0.0,2026-05-18,slot_1
Nippon India ETF Liquid BeES,LIQUIDBEES,999.99,1000.010009765625,995.0,1029.99,275770,0.0,0.0,0.0,1000.010009765625,995.0,1000.010009765625,999.989990234375,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.02,0.0,2026-05-18,slot_1
Groww Nifty 1D Rate Liquid ETF,GROWWLIQID,109.1,109.0999984741211,109.0899963378906,110.9,217848,-0.01,0.0,-0.01,109.0999984741211,109.08999633789062,109.0999984741211,109.08999633789062,,,,,,,,,,,,,,,,,,,,,,,,,0,1,-0.0,0.01,2026-05-18,slot_1
Aurobindo Pharma Limited,AUROPHARMA,1512.1,1525.0,1505.900024414062,1528.0,136708,-0.29,0.27,-0.55,1525.0,1491.5999755859375,1510.300048828125,1492.4000244140625,,,,,,,,,,,,,,,,,,,,,,,,,0,1,-1.8,19.7,2026-05-18,slot_1
Black Box Ltd,BBOX,878.95,890.75,871.1500244140625,890.75,185485,-0.99,-0.5,-0.48,966.0,840.0999755859375,966.0,840.9500122070312,,,,,,,,,,,,,,,,,,,,,,,,,1,1,87.05,38.0,2026-05-18,slot_1
Pace Digitek Ltd,PACEDIGITK,181.45,183.6999969482422,178.4199981689453,231.95,582180,-1.36,-0.26,-1.1,183.6999969482422,173.33999633789062,178.99000549316406,173.33999633789062,,,,,,,,,,,,,,,,,,,,,,,,,0,1,-2.46,8.11,2026-05-18,slot_1
Gandhar Oil Refinery (India) Ltd,GANDHAR,150.62,153.1900024414062,147.5,184.42,66555,-1.38,1.01,-2.39,160.16000366210938,147.5,160.0800018310547,147.60000610351562,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9.46,3.02,2026-05-18,slot_1
Sakar Healthcare Ltd,SAKAR,772.4,779.7000122070312,731.7000122070312,779.7,442579,-1.4,9.64,-11.04,794.0,731.7000122070312,791.7999877929688,738.25,,,,,,,,,,,,,,,,,,,,,,,,,1,1,19.4,34.15,2026-05-18,slot_1
Solar Industries India Limited,SOLARINDS,17433.0,17950.0,17227.0,17950.0,148314,-1.99,1.41,-3.39,18089.0,17227.0,18086.0,17337.0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,653.0,96.0,2026-05-18,slot_1
Valiant Organics Ltd,VALIANTORG,317.55,329.5,310.0,507.8,277755,-2.37,7.19,-9.56,329.5,296.5,315.0,296.8999938964844,,,,,,,,,,,,,,,,,,,,,,,,,0,1,-2.55,20.65,2026-05-18,slot_1
Happy Forgings Ltd,HAPPYFORGE,1399.7,1445.0,1381.099975585938,1470.0,55889,-2.84,-0.23,-2.61,1445.0,1365.0999755859375,1394.9000244140625,1366.0,,,,,,,,,,,,,,,,,,,,,,,,,0,1,-4.8,33.7,2026-05-18,slot_1
Wheels India Limited,WHEELS,1596.5,1610.0,1477.199951171875,1610.0,406725,4.21,9.81,-5.6,1657.699951171875,1477.199951171875,1656.800048828125,1548.0,1,1,60.3,48.5,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_1
The Great Eastern Shipping Company Limited,GESHIP,1639.0,1650.0,1533.900024414062,1650.0,1258948,3.72,8.27,-4.55,1730.0,1533.9000244140625,1727.5,1640.0,1,0,88.5,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_1
Vijaya Diagnostic Centre Ltd,VIJAYA,1363.9,1367.800048828125,1321.599975585938,1379.3,76459,1.88,5.03,-3.15,1374.0,1293.800048828125,1372.300048828125,1294.0,1,1,8.4,69.9,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_1
Carborundum Universal Limited,CARBORUNIV,1134.7,1164.900024414062,1090.0,1164.9,242965,1.49,4.42,-2.93,1166.4000244140625,1090.0,1154.0,1093.300048828125,1,1,19.3,41.4,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_1
Senores Pharmaceuticals Ltd,SENORES,1100.0,1104.900024414062,1048.0,1104.9,203948,1.24,5.14,-3.91,1194.4000244140625,1048.0,1194.0,1095.0999755859375,1,1,94.0,4.9,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,slot_1
