Stock Name,Ticker,Price,todayHigh,52WeekHigh,Volume,ROC_Today,"ROC (5m, 12p)",Diff of ROC,actual_high,is_high,gain,date
Jindal Drilling And Industries Limited,JINDRILL,595.1,598.7999877929688,759.9,5390744,9.56,-0.08,9.64,602.7000122070312,,7.6,2026-05-12
Satin Creditcare Network Limited,SATIN,239.86,245.5399932861328,245.54,17205242,-2.03,1.3,-3.34,245.5399932861328,,5.68,2026-05-12
Sasken Communication Technologies Limited,SASKEN,1786.0,1800.0,1800.0,1622942,5.93,2.87,3.06,1959.0,,173.0,2026-05-12
Oil & Natural Gas Corporation Limited,ONGC,299.2,299.8999938964844,307.5,30313374,1.85,0.02,1.83,299.8999938964844,,0.7,2026-05-12
Stove Kraft Ltd,STOVEKRAFT,586.8,598.9000244140625,813.95,1128278,5.06,-0.23,5.29,598.9000244140625,,12.1,2026-05-12
Sterlite Technologies Limited,STLTECH,414.4,414.3999938964844,414.4,9814270,7.01,0.0,7.01,414.3999938964844,,-0.0,2026-05-12
Nrb Bearing Limited,NRBBEARING,341.95,346.0,350.0,1219482,4.42,-0.26,4.68,346.0,,4.05,2026-05-12
Muthoot Microfin Ltd,MUTHOOTMF,197.41,198.3899993896484,217.99,300883,4.19,2.81,1.38,198.38999938964844,,0.98,2026-05-12
Strides Shasun Limited,STAR,1208.3,1215.300048828125,1215.3,201792,4.96,2.29,2.67,1231.0,,22.7,2026-05-12
Black Box Ltd,BBOX,816.35,820.0,820.0,1576485,5.49,2.69,2.81,872.5499877929688,,56.2,2026-05-12
R R Kabel Ltd,RRKABEL,1981.0,1996.900024414062,1996.9,438325,1.85,0.79,1.06,1996.9000244140625,,15.9,2026-05-12
Arvind Limited,ARVIND,454.2,459.4500122070312,459.65,837356,2.09,0.21,1.88,459.45001220703125,,5.25,2026-05-12
Hindalco Industries Limited,HINDALCO,1050.7,1054.599975585938,1080.0,1690557,0.59,0.23,0.36,1054.5999755859375,,3.9,2026-05-12
HFCL Ltd,HFCL,151.95,153.5500030517578,153.55,56972692,0.2,-0.28,0.47,153.5500030517578,,1.6,2026-05-12
Bliss Gvs Pharma Limited,BLISSGVS,276.9,284.5,284.5,2602838,-0.04,-1.26,1.23,284.5,,7.6,2026-05-12
Tata Steel Limited,TATASTEEL,215.49,216.3300018310547,219.2,11885613,0.77,0.59,0.18,216.3300018310547,,0.84,2026-05-12
Ind-swift Laboratories Limited,INDSWFTLAB,140.49,142.0,156.8,283095,1.95,1.62,0.33,142.0,,1.51,2026-05-12
Coal India Limited,COALINDIA,467.9,469.0,491.25,3081588,0.35,-0.02,0.38,469.0,,1.1,2026-05-12
Polycab India Ltd,POLYCAB,9109.0,9198.0,9198.0,254508,-0.14,-0.56,0.42,9220.0,,111.0,2026-05-12
Shadowfax Technologies Ltd,SHADOWFAX,165.4,166.5,177.01,540097,0.73,0.59,0.13,166.5,,1.1,2026-05-12
Welspun Corp Limited,WELCORP,1333.5,1347.0,1347.0,231398,0.18,-0.24,0.42,1347.0,,13.5,2026-05-12
Sigma Advanced System Ltd,SIGMAADV,340.0,354.8999938964844,354.9,338051,-2.51,0.29,-2.8,354.8999938964844,,14.9,2026-05-12
Jindal Drilling And Industries Limited,JINDRILL,647.6,660.0,759.9,18535754,7.14,2.15,4.99,686.1500244140625,586.2999877929688,1,1,38.55,61.3,2026-05-13,slot_5
Cubex Tubings Limited,CUBEXTUB,107.66,109.0,143.69,528175,10.72,4.3,6.42,110.0,90.55000305175781,1,1,2.34,17.11,2026-05-13,slot_5
Texmaco Rail & Engineering Limited,TEXRAIL,118.02,121.0,189.0,51417159,0.38,0.03,0.35,124.7300033569336,113.16000366210938,1,1,6.71,4.86,2026-05-13,slot_5
Steel Authority Of India Limited,SAIL,194.62,194.9400024414062,194.94,62505757,6.27,3.22,3.04,202.35000610351562,176.30999755859375,1,1,7.73,18.31,2026-05-13,slot_5
Veranda Learning Solutions Ltd,VERANDA,233.0,235.0,272.5,4125570,6.9,1.15,5.75,245.0,217.02000427246094,1,1,12.0,15.98,2026-05-13,slot_5
Jaro Institute of Technol. Mgt. and Research Ltd,JARO,443.0,480.0,890.0,2484989,5.11,-5.49,10.61,491.45001220703125,412.0,1,1,48.45,31.0,2026-05-13,slot_5
Sai Silks (Kalamandir) Ltd,KALAMANDIR,116.63,120.4899978637695,223.03,2092646,2.41,0.19,2.22,120.48999786376953,110.0,1,1,3.86,6.63,2026-05-13,slot_5
Mold-tek Packaging Limited,MOLDTKPAC,628.75,641.0,892.9,358133,6.79,-1.05,7.84,674.0,581.75,1,1,45.25,47.0,2026-05-13,slot_5
Mishra Dhatu Nigam Ltd,MIDHANI,416.6,422.2999877929688,469.0,1867575,4.34,-0.12,4.46,426.70001220703125,392.0,1,1,10.1,24.6,2026-05-13,slot_5
Sakar Healthcare Ltd,SAKAR,608.4,627.8499755859375,661.95,373741,5.92,2.74,3.18,627.8499755859375,571.0999755859375,1,1,19.45,37.3,2026-05-13,slot_5
Nitin Spinners Limited,NITINSPIN,530.3,544.9500122070312,544.95,1056597,1.6,-2.11,3.71,544.9500122070312,498.29998779296875,1,1,14.65,32.0,2026-05-13,slot_5
Skipper Limited,SKIPPER,463.9,467.3999938964844,588.0,432477,5.78,3.01,2.77,467.3999938964844,436.95001220703125,1,1,3.5,26.95,2026-05-13,slot_5
DSP Silver ETF,SILVERADD,269.81,274.3999938964844,390.0,529558,0.69,0.68,0.01,274.3999938964844,264.1099853515625,1,1,4.59,5.7,2026-05-13,slot_5
HDFC Silver ETF,HDFCSILVER,267.73,278.0,359.0,5133008,0.54,0.66,-0.13,278.0,265.0,1,1,10.27,2.73,2026-05-13,slot_5
UTI Silver ETF,SILVERBETA,270.09,278.989990234375,379.66,943629,0.73,0.53,0.2,278.989990234375,257.8999938964844,1,1,8.9,12.19,2026-05-13,slot_5
Mirae Asset Silver ETF,SILVERAG,272.06,275.6600036621094,380.0,529691,0.07,0.61,-0.54,275.6600036621094,267.45001220703125,1,1,3.6,4.61,2026-05-13,slot_5
Nippon India Silver ETF,SILVERBEES,267.28,274.7999877929688,360.0,39740704,0.48,0.68,-0.2,274.79998779296875,262.1000061035156,1,1,7.52,5.18,2026-05-13,slot_5
