MTAR Technologies Ltd,MTARTECH,6626.5,6850.0,6850.0,1540137,7.51,7.05,0.46,6969.0,6030.5,1,1,342.5,596.0,2026-05-13,slot_5
SBI Silver ETF,SBISILVER,273.36,279.9400024414062,362.0,2128262,0.07,0.62,-0.55,279.94000244140625,270.7300109863281,1,1,6.58,2.63,2026-05-13,slot_5
Axis Silver ETF,AXISILVER,276.98,281.2300109863281,390.01,931522,0.52,0.74,-0.22,281.2300109863281,274.1000061035156,1,1,4.25,2.88,2026-05-13,slot_5
Aditya Birla Sun Life Silver ETF,SILVER,278.32,283.9800109863281,371.89,2133630,0.67,0.61,0.05,283.9800109863281,275.0,1,1,5.66,3.32,2026-05-13,slot_5
ICICI Prudential Silver ETF,SILVERIETF,278.59,283.6799926757812,373.5,6376187,0.45,0.61,-0.17,283.67999267578125,265.6600036621094,1,1,5.09,12.93,2026-05-13,slot_5
Ratnaveer Precision Engineering Ltd,RATNAVEER,177.02,183.9799957275391,193.39,3860466,0.72,-0.83,1.55,183.97999572753906,171.0,1,1,6.96,6.02,2026-05-13,slot_5
Berger Paints (i) Limited,BERGEPAINT,515.75,533.3499755859375,605.0,6124613,-1.44,-0.66,-0.79,533.3499755859375,500.0,1,1,17.6,15.75,2026-05-13,slot_5
Suryoday Small Finance Bank Ltd,SURYODAY,182.22,190.7799987792969,190.78,2321448,3.1,-2.73,5.83,190.77999877929688,170.13999938964844,1,1,8.56,12.08,2026-05-13,slot_5
Ideaforge Technology Ltd,IDEAFORGE,773.0,798.5,849.35,1298296,3.24,-1.67,4.9,798.5,732.2000122070312,1,1,25.5,40.8,2026-05-13,slot_5
Hindustan Copper Limited,HINDCOPPER,594.0,599.5499877929688,760.05,10290647,1.57,0.83,0.74,600.0,577.0,1,1,6.0,17.0,2026-05-13,slot_5
Jindal Drilling And Industries Limited,JINDRILL,647.6,660.0,759.9,18535754,7.14,2.15,4.99,686.1500244140625,623.9500122070312,1,38.55,1,23.65,2026-05-13,slot_5
Cubex Tubings Limited,CUBEXTUB,107.66,109.0,143.69,528175,10.72,4.3,6.42,110.0,102.29000091552734,1,2.34,1,5.37,2026-05-13,slot_5
Texmaco Rail & Engineering Limited,TEXRAIL,118.02,121.0,189.0,51417159,0.38,0.03,0.35,124.7300033569336,117.69000244140625,1,6.71,1,0.33,2026-05-13,slot_5
Steel Authority Of India Limited,SAIL,194.62,194.9400024414062,194.94,62505757,6.27,3.22,3.04,202.35000610351562,192.38999938964844,1,7.73,1,2.23,2026-05-13,slot_5
Veranda Learning Solutions Ltd,VERANDA,233.0,235.0,272.5,4125570,6.9,1.15,5.75,245.0,231.0,1,12.0,1,2.0,2026-05-13,slot_5
Jaro Institute of Technol. Mgt. and Research Ltd,JARO,443.0,480.0,890.0,2484989,5.11,-5.49,10.61,491.45001220703125,440.6000061035156,1,48.45,1,2.4,2026-05-13,slot_5
Sai Silks (Kalamandir) Ltd,KALAMANDIR,116.63,120.4899978637695,223.03,2092646,2.41,0.19,2.22,120.48999786376953,114.01000213623047,1,3.86,1,2.62,2026-05-13,slot_5
Mold-tek Packaging Limited,MOLDTKPAC,628.75,641.0,892.9,358133,6.79,-1.05,7.84,674.0,624.9500122070312,1,45.25,1,3.8,2026-05-13,slot_5
Mishra Dhatu Nigam Ltd,MIDHANI,416.6,422.2999877929688,469.0,1867575,4.34,-0.12,4.46,426.70001220703125,415.04998779296875,1,10.1,1,1.55,2026-05-13,slot_5
Sakar Healthcare Ltd,SAKAR,608.4,627.8499755859375,661.95,373741,5.92,2.74,3.18,627.8499755859375,593.1500244140625,1,19.45,1,15.25,2026-05-13,slot_5
Nitin Spinners Limited,NITINSPIN,530.3,544.9500122070312,544.95,1056597,1.6,-2.11,3.71,544.9500122070312,504.1000061035156,1,14.65,1,26.2,2026-05-13,slot_5
Skipper Limited,SKIPPER,463.9,467.3999938964844,588.0,432477,5.78,3.01,2.77,467.3999938964844,450.1000061035156,1,3.5,1,13.8,2026-05-13,slot_5
DSP Silver ETF,SILVERADD,269.81,274.3999938964844,390.0,529558,0.69,0.68,0.01,274.3999938964844,264.1099853515625,1,4.59,0,0.0,2026-05-13,slot_5
HDFC Silver ETF,HDFCSILVER,267.73,278.0,359.0,5133008,0.54,0.66,-0.13,278.0,265.0,1,10.27,0,0.0,2026-05-13,slot_5
UTI Silver ETF,SILVERBETA,270.09,278.989990234375,379.66,943629,0.73,0.53,0.2,278.989990234375,257.8999938964844,1,8.9,0,0.0,2026-05-13,slot_5
Mirae Asset Silver ETF,SILVERAG,272.06,275.6600036621094,380.0,529691,0.07,0.61,-0.54,275.6600036621094,267.45001220703125,1,3.6,0,0.0,2026-05-13,slot_5
Nippon India Silver ETF,SILVERBEES,267.28,274.7999877929688,360.0,39740704,0.48,0.68,-0.2,274.79998779296875,262.1000061035156,1,7.52,0,0.0,2026-05-13,slot_5
MTAR Technologies Ltd,MTARTECH,6626.5,6850.0,6850.0,1540137,7.51,7.05,0.46,6969.0,6584.0,1,342.5,1,42.5,2026-05-13,slot_5
SBI Silver ETF,SBISILVER,273.36,279.9400024414062,362.0,2128262,0.07,0.62,-0.55,279.94000244140625,270.7300109863281,1,6.58,0,0.0,2026-05-13,slot_5
Axis Silver ETF,AXISILVER,276.98,281.2300109863281,390.01,931522,0.52,0.74,-0.22,281.2300109863281,274.1000061035156,1,4.25,0,0.0,2026-05-13,slot_5
Aditya Birla Sun Life Silver ETF,SILVER,278.32,283.9800109863281,371.89,2133630,0.67,0.61,0.05,283.9800109863281,275.0,1,5.66,0,0.0,2026-05-13,slot_5
ICICI Prudential Silver ETF,SILVERIETF,278.59,283.6799926757812,373.5,6376187,0.45,0.61,-0.17,283.67999267578125,265.6600036621094,1,5.09,0,0.0,2026-05-13,slot_5
Ratnaveer Precision Engineering Ltd,RATNAVEER,177.02,183.9799957275391,193.39,3860466,0.72,-0.83,1.55,183.97999572753906,171.0,1,6.96,0,0.0,2026-05-13,slot_5
Berger Paints (i) Limited,BERGEPAINT,515.75,533.3499755859375,605.0,6124613,-1.44,-0.66,-0.79,533.3499755859375,500.8500061035156,1,17.6,1,14.9,2026-05-13,slot_5
Suryoday Small Finance Bank Ltd,SURYODAY,182.22,190.7799987792969,190.78,2321448,3.1,-2.73,5.83,190.77999877929688,173.25999450683594,1,8.56,1,8.96,2026-05-13,slot_5
Ideaforge Technology Ltd,IDEAFORGE,773.0,798.5,849.35,1298296,3.24,-1.67,4.9,798.5,767.4000244140625,1,25.5,1,5.6,2026-05-13,slot_5
Hindustan Copper Limited,HINDCOPPER,594.0,599.5499877929688,760.05,10290647,1.57,0.83,0.74,600.0,591.0999755859375,1,6.0,1,2.9,2026-05-13,slot_5
Jindal Drilling And Industries Limited,JINDRILL,647.6,660.0,759.9,18535754,7.14,2.15,4.99,686.1500244140625,623.9500122070312,1,38.55,1,23.65,2026-05-13,slot_5
Cubex Tubings Limited,CUBEXTUB,107.66,109.0,143.69,528175,10.72,4.3,6.42,110.0,102.29000091552734,1,2.34,1,5.37,2026-05-13,slot_5
Texmaco Rail & Engineering Limited,TEXRAIL,118.02,121.0,189.0,51417159,0.38,0.03,0.35,124.7300033569336,117.69000244140625,1,6.71,1,0.33,2026-05-13,slot_5
Steel Authority Of India Limited,SAIL,194.62,194.9400024414062,194.94,62505757,6.27,3.22,3.04,202.35000610351562,192.38999938964844,1,7.73,1,2.23,2026-05-13,slot_5
Veranda Learning Solutions Ltd,VERANDA,233.0,235.0,272.5,4125570,6.9,1.15,5.75,245.0,231.0,1,12.0,1,2.0,2026-05-13,slot_5
Jaro Institute of Technol. Mgt. and Research Ltd,JARO,443.0,480.0,890.0,2484989,5.11,-5.49,10.61,491.45001220703125,440.6000061035156,1,48.45,1,2.4,2026-05-13,slot_5
Sai Silks (Kalamandir) Ltd,KALAMANDIR,116.63,120.4899978637695,223.03,2092646,2.41,0.19,2.22,120.48999786376953,114.01000213623047,1,3.86,1,2.62,2026-05-13,slot_5
Mold-tek Packaging Limited,MOLDTKPAC,628.75,641.0,892.9,358133,6.79,-1.05,7.84,674.0,624.9500122070312,1,45.25,1,3.8,2026-05-13,slot_5
Mishra Dhatu Nigam Ltd,MIDHANI,416.6,422.2999877929688,469.0,1867575,4.34,-0.12,4.46,426.70001220703125,415.04998779296875,1,10.1,1,1.55,2026-05-13,slot_5
Sakar Healthcare Ltd,SAKAR,608.4,627.8499755859375,661.95,373741,5.92,2.74,3.18,627.8499755859375,593.1500244140625,1,19.45,1,15.25,2026-05-13,slot_5
Nitin Spinners Limited,NITINSPIN,530.3,544.9500122070312,544.95,1056597,1.6,-2.11,3.71,544.9500122070312,504.1000061035156,1,14.65,1,26.2,2026-05-13,slot_5
Skipper Limited,SKIPPER,463.9,467.3999938964844,588.0,432477,5.78,3.01,2.77,467.3999938964844,450.1000061035156,1,3.5,1,13.8,2026-05-13,slot_5
DSP Silver ETF,SILVERADD,269.81,274.3999938964844,390.0,529558,0.69,0.68,0.01,274.3999938964844,264.1099853515625,1,4.59,0,0.0,2026-05-13,slot_5
HDFC Silver ETF,HDFCSILVER,267.73,278.0,359.0,5133008,0.54,0.66,-0.13,278.0,265.0,1,10.27,0,0.0,2026-05-13,slot_5
UTI Silver ETF,SILVERBETA,270.09,278.989990234375,379.66,943629,0.73,0.53,0.2,278.989990234375,257.8999938964844,1,8.9,0,0.0,2026-05-13,slot_5
Mirae Asset Silver ETF,SILVERAG,272.06,275.6600036621094,380.0,529691,0.07,0.61,-0.54,275.6600036621094,267.45001220703125,1,3.6,0,0.0,2026-05-13,slot_5
Nippon India Silver ETF,SILVERBEES,267.28,274.7999877929688,360.0,39740704,0.48,0.68,-0.2,274.79998779296875,262.1000061035156,1,7.52,0,0.0,2026-05-13,slot_5
MTAR Technologies Ltd,MTARTECH,6626.5,6850.0,6850.0,1540137,7.51,7.05,0.46,6969.0,6584.0,1,342.5,1,42.5,2026-05-13,slot_5
SBI Silver ETF,SBISILVER,273.36,279.9400024414062,362.0,2128262,0.07,0.62,-0.55,279.94000244140625,270.7300109863281,1,6.58,0,0.0,2026-05-13,slot_5
Axis Silver ETF,AXISILVER,276.98,281.2300109863281,390.01,931522,0.52,0.74,-0.22,281.2300109863281,274.1000061035156,1,4.25,0,0.0,2026-05-13,slot_5
Aditya Birla Sun Life Silver ETF,SILVER,278.32,283.9800109863281,371.89,2133630,0.67,0.61,0.05,283.9800109863281,275.0,1,5.66,0,0.0,2026-05-13,slot_5
ICICI Prudential Silver ETF,SILVERIETF,278.59,283.6799926757812,373.5,6376187,0.45,0.61,-0.17,283.67999267578125,265.6600036621094,1,5.09,0,0.0,2026-05-13,slot_5
Ratnaveer Precision Engineering Ltd,RATNAVEER,177.02,183.9799957275391,193.39,3860466,0.72,-0.83,1.55,183.97999572753906,171.0,1,6.96,0,0.0,2026-05-13,slot_5
Berger Paints (i) Limited,BERGEPAINT,515.75,533.3499755859375,605.0,6124613,-1.44,-0.66,-0.79,533.3499755859375,500.8500061035156,1,17.6,1,14.9,2026-05-13,slot_5
Suryoday Small Finance Bank Ltd,SURYODAY,182.22,190.7799987792969,190.78,2321448,3.1,-2.73,5.83,190.77999877929688,173.25999450683594,1,8.56,1,8.96,2026-05-13,slot_5
Ideaforge Technology Ltd,IDEAFORGE,773.0,798.5,849.35,1298296,3.24,-1.67,4.9,798.5,767.4000244140625,1,25.5,1,5.6,2026-05-13,slot_5
Hindustan Copper Limited,HINDCOPPER,594.0,599.5499877929688,760.05,10290647,1.57,0.83,0.74,600.0,591.0999755859375,1,6.0,1,2.9,2026-05-13,slot_5
Jindal Drilling And Industries Limited,JINDRILL,647.6,660.0,759.9,18535754,7.14,2.15,4.99,686.1500244140625,623.9500122070312,1,38.55,1,23.65,2026-05-13,slot_5
Cubex Tubings Limited,CUBEXTUB,107.66,109.0,143.69,528175,10.72,4.3,6.42,110.0,102.29000091552734,1,2.34,1,5.37,2026-05-13,slot_5
Texmaco Rail & Engineering Limited,TEXRAIL,118.02,121.0,189.0,51417159,0.38,0.03,0.35,124.7300033569336,117.69000244140625,1,6.71,1,0.33,2026-05-13,slot_5
Steel Authority Of India Limited,SAIL,194.62,194.9400024414062,194.94,62505757,6.27,3.22,3.04,202.35000610351562,192.38999938964844,1,7.73,1,2.23,2026-05-13,slot_5
Veranda Learning Solutions Ltd,VERANDA,233.0,235.0,272.5,4125570,6.9,1.15,5.75,245.0,231.0,1,12.0,1,2.0,2026-05-13,slot_5
Jaro Institute of Technol. Mgt. and Research Ltd,JARO,443.0,480.0,890.0,2484989,5.11,-5.49,10.61,491.45001220703125,440.6000061035156,1,48.45,1,2.4,2026-05-13,slot_5
Sai Silks (Kalamandir) Ltd,KALAMANDIR,116.63,120.4899978637695,223.03,2092646,2.41,0.19,2.22,120.48999786376953,114.01000213623047,1,3.86,1,2.62,2026-05-13,slot_5
Mold-tek Packaging Limited,MOLDTKPAC,628.75,641.0,892.9,358133,6.79,-1.05,7.84,674.0,624.9500122070312,1,45.25,1,3.8,2026-05-13,slot_5
Mishra Dhatu Nigam Ltd,MIDHANI,416.6,422.2999877929688,469.0,1867575,4.34,-0.12,4.46,426.70001220703125,415.04998779296875,1,10.1,1,1.55,2026-05-13,slot_5
Sakar Healthcare Ltd,SAKAR,608.4,627.8499755859375,661.95,373741,5.92,2.74,3.18,627.8499755859375,593.1500244140625,0,0.0,1,15.25,2026-05-13,slot_5
Nitin Spinners Limited,NITINSPIN,530.3,544.9500122070312,544.95,1056597,1.6,-2.11,3.71,544.9500122070312,504.1000061035156,0,0.0,1,26.2,2026-05-13,slot_5
Skipper Limited,SKIPPER,463.9,467.3999938964844,588.0,432477,5.78,3.01,2.77,467.3999938964844,450.1000061035156,0,0.0,1,13.8,2026-05-13,slot_5
DSP Silver ETF,SILVERADD,269.81,274.3999938964844,390.0,529558,0.69,0.68,0.01,274.3999938964844,264.1099853515625,0,0.0,0,0.0,2026-05-13,slot_5
HDFC Silver ETF,HDFCSILVER,267.73,278.0,359.0,5133008,0.54,0.66,-0.13,278.0,265.0,0,0.0,0,0.0,2026-05-13,slot_5
UTI Silver ETF,SILVERBETA,270.09,278.989990234375,379.66,943629,0.73,0.53,0.2,278.989990234375,257.8999938964844,0,0.0,0,0.0,2026-05-13,slot_5
Mirae Asset Silver ETF,SILVERAG,272.06,275.6600036621094,380.0,529691,0.07,0.61,-0.54,275.6600036621094,267.45001220703125,0,0.0,0,0.0,2026-05-13,slot_5
Nippon India Silver ETF,SILVERBEES,267.28,274.7999877929688,360.0,39740704,0.48,0.68,-0.2,274.79998779296875,262.1000061035156,0,0.0,0,0.0,2026-05-13,slot_5
MTAR Technologies Ltd,MTARTECH,6626.5,6850.0,6850.0,1540137,7.51,7.05,0.46,6969.0,6584.0,1,342.5,1,42.5,2026-05-13,slot_5
SBI Silver ETF,SBISILVER,273.36,279.9400024414062,362.0,2128262,0.07,0.62,-0.55,279.94000244140625,270.7300109863281,1,6.58,0,0.0,2026-05-13,slot_5
Axis Silver ETF,AXISILVER,276.98,281.2300109863281,390.01,931522,0.52,0.74,-0.22,281.2300109863281,274.1000061035156,0,0.0,0,0.0,2026-05-13,slot_5
Aditya Birla Sun Life Silver ETF,SILVER,278.32,283.9800109863281,371.89,2133630,0.67,0.61,0.05,283.9800109863281,275.0,0,0.0,0,0.0,2026-05-13,slot_5
ICICI Prudential Silver ETF,SILVERIETF,278.59,283.6799926757812,373.5,6376187,0.45,0.61,-0.17,283.67999267578125,265.6600036621094,1,5.09,0,0.0,2026-05-13,slot_5
Ratnaveer Precision Engineering Ltd,RATNAVEER,177.02,183.9799957275391,193.39,3860466,0.72,-0.83,1.55,183.97999572753906,171.0,0,0.0,0,0.0,2026-05-13,slot_5
Berger Paints (i) Limited,BERGEPAINT,515.75,533.3499755859375,605.0,6124613,-1.44,-0.66,-0.79,533.3499755859375,500.8500061035156,0,0.0,1,14.9,2026-05-13,slot_5
Suryoday Small Finance Bank Ltd,SURYODAY,182.22,190.7799987792969,190.78,2321448,3.1,-2.73,5.83,190.77999877929688,173.25999450683594,0,0.0,1,8.96,2026-05-13,slot_5
Ideaforge Technology Ltd,IDEAFORGE,773.0,798.5,849.35,1298296,3.24,-1.67,4.9,798.5,767.4000244140625,0,0.0,1,5.6,2026-05-13,slot_5
Hindustan Copper Limited,HINDCOPPER,594.0,599.5499877929688,760.05,10290647,1.57,0.83,0.74,600.0,591.0999755859375,1,6.0,1,2.9,2026-05-13,slot_5
